Date,Treatment,ID,Sex,Sex_Treatment,Trapped_within,10min,20min,30min,40min,50min,60min,70min,80min,90min,100min,110min,120min,130min,,,,
9/10/22,Experimental,F1E9_10_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/10/22,Experimental,F2E9_10_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/10/22,Experimental,F3E9_10_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/10/22,Experimental,F5E9_10_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/10/22,Control,F2C9_10_22,F,F_Control,10,,,,,,,,,,,,,,,,,
9/10/22,Control,M2C9_10_22,M,M_Control,10,,,,,,,,,,,,,,,,,
9/10/22,Control,M5C9_10_22,M,M_Control,10,,,,,,,,,,,,,,,,,
9/17/22,Experimental,F1E9_17_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/17/22,Experimental,F0E9_17_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/17/22,Experimental,F5E9_17_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/17/22,Experimental,M3E9_17_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
9/17/22,Experimental,M5E9_17_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
9/20/22,Experimental,F2E9_20_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/20/22,Experimental,F0E9_20_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/20/22,Experimental,M2E9_20_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
9/20/22,Experimental,M0E9_20_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
9/20/22,Control,F3C9_20_22,F,F_Control,10,,,,,,,,,,,,,,,,,
9/21/22,Experimental,F3E9_21_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/21/22,Experimental,F0E9_21_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/21/22,Experimental,F5E9_21_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/21/22,Experimental,M2E9_21_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
9/21/22,Experimental,M0E9_21_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
9/21/22,Experimental,M5E9_21_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
9/21/22,Experimental,F1E9_21_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/28/22,Control,F5E9_28_22,F,F_Control,10,,,,,,,,,,,,,,,,,
9/28/22,Experimental,F3C9_28_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/28/22,Experimental,M3C9_28_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
9/28/22,Experimental,M0C9_28_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
