Date,Arena,Treatment,Focal,Trap_side,Time_in,Location_1hr,Location_3hr,Location_5hr,Location_24hr,Trapped_within
2/1/23,1,0,M_m,L,10:33,T,T,A,A,
2/1/23,2,0,F_v,R,10:36,A,A,A,D,24
2/1/23,3,0,F_v,R,10:37,A,A,A,D,24
2/15/23,1,0,F_m,L,10:53,T,T,T,D,24
2/15/23,2,40,F_v,L,10:53,A,D,D,D,3
2/15/23,3,20,F_m,L,10:54,A,D,D,D,3
2/15/23,4,0,F_v,R,10:54,A,A,A,D,24
2/15/23,5,30,M_m,R,10:55,T,D,D,D,3
2/15/23,6,20,F_v,L,10:55,A,D,D,D,3
2/15/23,7,40,F_m,L,10:56,A,T,D,D,5
2/15/23,8,0,M_m,L,10:58,A,A,A,A,
2/15/23,9,10,F_v,L,10:56,A,A,A,D,24
2/15/23,10,30,F_m,R,10:57,Tip,Tip,A,D,24
2/15/23,11,10,F_m,L,10:59,T,A,A,D,24
2/15/23,12,20,M_m,R,10:59,Tip,Tip,A,D,24
2/15/23,13,40,M_m,L,11:00,D,D,D,D,1
2/15/23,14,30,F_v,L,10:58,A,T,A,D,24
2/15/23,15,10,M_m,L,11:01,A,F,T,D,24
2/22/23,1,10,M_m,R,10:43,A,D,D,D,3
2/22/23,2,40,M_m,R,10:44,T,A,A,D,24
2/22/23,3,40,F_v,L,10:45,D,D,D,D,1
2/22/23,4,20,F_m,L,10:45,A,F,A,F,
2/22/23,5,0,F_v,L,10:46,T,D,D,D,3
2/22/23,6,30,F_m,R,10:46,A,A,A,F,
2/22/23,7,30,F_v,L,10:47,D,D,D,D,1
2/22/23,8,10,F_v,L,10:47,A,D,D,D,3
2/22/23,9,30,M_m,L,10:47,A,T,A,D,24
2/22/23,10,0,F_m,L,10:48,A,F,A,D,24
2/22/23,11,10,F_m,L,10:50,T,T,A,D,24
2/22/23,12,20,F_v,L,10:49,T,A,A,D,24
2/22/23,13,0,M_m,L,10:49,A,F,D,D,5
2/22/23,14,20,M_m,L,10:49,A,A,F,F,
2/22/23,15,40,F_m,L,10:50,A,A,A,D,24
3/1/23,1,10,M_m,R,10:43,F,A,D,D,5
3/1/23,2,0,F_m,L,10:43,T,T,F,F,
3/1/23,3,40,F_m,L,10:43,T,D,D,D,3
3/1/23,4,30,M_m,R,10:44,D,D,D,D,1
3/1/23,5,10,F_v,R,10:44,A,D,D,D,3
3/1/23,6,0,F_v,L,10:45,A,A,A,D,24
3/1/23,7,10,F_m,L,10:45,A,A,A,A,
3/1/23,8,20,M_m,L,10:46,A,D,D,D,3
3/1/23,9,20,F_v,L,10:46,A,D,D,D,3
3/1/23,10,20,F_m,R,10:47,T,A,D,D,5
3/1/23,11,40,F_v,L,10:47,A,D,D,D,3
3/1/23,12,10,M_m,L,10:50,A,F,A,D,24
3/1/23,13,30,F_v,L,10:48,D,D,D,D,1
3/1/23,14,30,F_m,L,10:48,A,D,D,D,3
3/1/23,15,20,F_v,R,10:54,T,A,D,D,5
3/1/23,16,40,M_m,L,10:53,A,F,D,D,5
3/1/23,17,30,F_m,L,10:54,A,T,A,D,24
3/1/23,18,0,M_m,R,10:50,A,F,F,F,
3/1/23,19,0,M_m,L,10:54,T,F,F,F,
4/12/23,1,30,F_v,L,10:17,D,D,D,D,1
4/12/23,2,20,F_m,L,10:17,T,F,F,F,
4/12/23,3,20,M_m,L,10:18,F,D,D,D,3
4/12/23,4,0,F_v,R,10:18,F,F,A,F,
4/12/23,5,10,F_v,R,10:21,D,D,D,D,1
4/12/23,6,10,M_m,L,10:19,A,F,D,D,5
4/12/23,7,40,F_v,R,10:19,A,D,D,D,3
4/12/23,8,10,F_m,L,10:24,A,D,D,D,3
4/12/23,9,0,F_m,R,10:24,T,A,A,A,
4/12/23,10,0,F_v,L,10:24,A,A,A,F,
4/18/23,1,0,F_v,R,10:20,A,A,A,A,
4/18/23,2,0,F_m,R,10:22,F,F,F,T,
4/18/23,3,0,M_m,L,10:23,A,A,A,D,24
4/18/23,4,40,F_v,R,10:24,A,D,D,D,3
4/18/23,5,10,F_m,L,10:25,T,T,A,F,
4/18/23,6,40,M_m,R,10:26,A,D,D,D,3
4/18/23,7,30,M_m,R,10:27,A,D,D,D,3
4/18/23,8,40,F_m,L,10:28,A,F,F,F,
4/18/23,9,20,F_v,L,10:30,T,D,D,D,3
4/18/23,10,30,F_m,R,10:31,A,A,D,D,5
4/18/23,11,20,M_m,R,10:33,A,F,A,D,24
4/18/23,12,0,M_m,R,10:34,A,F,F,T,
4/20/23,1,0,F_v,R,9:51,A,D,D,D,3
4/20/23,2,10,F_m,L,9:52,A,F,D,D,5
4/20/23,3,10,F_v,L,9:53,A,A,A,A,
4/20/23,4,20,F_m,L,9:53,A,A,F,D,24
4/20/23,5,0,M_m,R,9:53,T,D,D,D,3
4/20/23,6,10,M_m,L,9:55,A,F,F,D,24
4/20/23,7,10,M_m,R,9:56,A,A,A,D,24
4/20/23,8,0,F_v,R,9:53,F,A,A,A,
4/20/23,9,0,F_m,L,9:54,A,F,F,F,
4/20/23,10,0,M_m,L,9:54,T,T,D,D,5
6/28/23,6,0,F_m,L,12:15,A,A,A,F,
6/28/23,7,10,F_m,L,12:16,T,A,F,D,24
6/28/23,8,20,F_m,L,12:18,A,A,A,D,24
7/5/23,6,0,F_m,R,1:53,A,A,F,F,
7/5/23,7,10,F_v,L,1:55,T,A,A,A,
7/5/23,8,20,F_v,R,1:56,A,F,F,D,24
7/5/23,9,20,M_m,L,1:57,A,A,F,F,
7/5/23,10,30,F_v,L,1:58,A,A,D,D,5
7/5/23,12,40,F_m,L,1:59,A,F,F,F,
7/19/23,6,0,F_v,R,9:16,A,A,A,A,
7/19/23,7,0,F_m,R,9:18,A,A,A,D,24
7/19/23,8,10,F_m,R,9:19,A,A,F,T,
7/19/23,9,10,M_m,R,9:20,A,A,A,D,24
7/19/23,10,20,F_v,L,9:17,A,A,A,D,24
7/19/23,11,20,F_m,L,9:19,A,T,T,D,24
7/19/23,12,30,F_v,L,9:18,A,A,T,D,24
7/19/23,13,30,F_m,L,9:20,A,D,D,D,3
8/1/23,1,0,F_v,R,11:44,T,A,A,A,
8/1/23,2,0,F_m,R,11:44,A,T,F,T,
8/1/23,3,10,M_m,R,11:45,A,A,D,D,5
8/1/23,4,10,F_v,R,11:45,A,A,D,D,5
8/1/23,5,10,F_m,R,11:46,A,A,A,D,24
8/1/23,6,20,M_m,R,11:46,A,D,D,D,3
8/1/23,7,20,F_v,L,11:47,T,A,T,A,
8/1/23,8,20,F_m,L,11:48,A,T,D,D,5
8/1/23,9,30,M_m,L,11:48,D,D,D,D,1
8/1/23,10,30,F_v,R,11:49,A,A,A,D,24
8/1/23,11,30,F_v,L,11:48,T,T,F,D,24
8/1/23,12,30,F_v,R,11:50,A,A,A,D,24
8/1/23,13,30,F_m,L,11:50,A,T,A,D,24
8/1/23,14,30,F_m,R,11:52,D,D,D,D,1
8/1/23,15,30,F_m,L,11:51,D,D,D,D,1
8/1/23,16,30,M_m,L,11:53,A,A,D,D,5
8/1/23,17,30,M_m,R,11:52,A,A,D,D,5
8/1/23,18,30,M_m,L,11:54,A,A,T,D,24
8/1/23,19,40,F_v,L,11:53,A,T,A,D,24
8/1/23,20,40,F_v,R,11:43,A,A,D,D,5
8/1/23,21,40,F_v,L,11:54,A,A,T,F,
8/1/23,22,40,F_v,L,11:56,T,T,A,D,24
